colour	x	y	clickSelects	fill
#F8766D	0.446134881793775	0.391999888318506	Female.No	#F8766D
#7CAE00	0.784804984080521	0.186586687933992	Male.No	#7CAE00
#7CAE00	0.602964821525595	0.200052177787504	Male.No	#7CAE00
#7CAE00	0.60260473665866	0.365742725066163	Male.No	#7CAE00
#F8766D	0.103915913115171	0.382634210146286	Female.No	#F8766D
#7CAE00	0.648430836471644	0.403797554868189	Male.No	#7CAE00
#7CAE00	0.696485056457194	0.23365485989912	Male.No	#7CAE00
#7CAE00	0.873862112872303	0.277035438540307	Male.No	#7CAE00
#7CAE00	0.572534346783703	0.19674582906406	Male.No	#7CAE00
#7CAE00	0.63566917731342	0.232165536504577	Male.No	#7CAE00
#7CAE00	0.704055023464289	0.147090055810457	Male.No	#7CAE00
#F8766D	0.257789302955974	0.265518371015787	Female.No	#F8766D
#7CAE00	0.79045036341995	0.119748602451926	Male.No	#7CAE00
#7CAE00	0.556989418512041	0.29933969727294	Male.No	#7CAE00
#F8766D	0.170058818195354	0.328472289764746	Female.No	#F8766D
#7CAE00	0.617001462643119	0.222497135146775	Male.No	#7CAE00
#F8766D	0.333660386926071	0.164615860801529	Female.No	#F8766D
#7CAE00	0.806711917743087	0.451306242241778	Male.No	#7CAE00
#F8766D	0.397035537372259	0.220926105722108	Female.No	#F8766D
#7CAE00	0.717413813976402	0.268574157729745	Male.No	#7CAE00
#7CAE00	0.693063640543683	0.217823608947748	Male.No	#7CAE00
#F8766D	0.177224907008084	0.398250939239833	Female.No	#F8766D
#F8766D	0.264700176702304	0.411374424160881	Female.No	#F8766D
#7CAE00	0.654713119210845	0.248421883718534	Male.No	#7CAE00
#7CAE00	0.871976578777487	0.098083398474211	Male.No	#7CAE00
#7CAE00	0.824192640117624	0.22536922280084	Male.No	#7CAE00
#7CAE00	0.710579239847985	0.344316596503962	Male.No	#7CAE00
#7CAE00	0.869102232496847	0.404869602569802	Male.No	#7CAE00
#7CAE00	0.727034143087539	0.298087464222176	Male.No	#7CAE00
#F8766D	0.410177161409096	0.159055545672097	Female.No	#F8766D
#7CAE00	0.8077857082879	0.362005913122134	Male.No	#7CAE00
#7CAE00	0.634208331477236	0.312939924865284	Male.No	#7CAE00
#F8766D	0.31561737168919	0.129660347222604	Female.No	#F8766D
#F8766D	0.130730628459291	0.321063890545206	Female.No	#F8766D
#7CAE00	0.841980491680178	0.0958755650472911	Male.No	#7CAE00
#7CAE00	0.674806926738132	0.349384808320213	Male.No	#7CAE00
#7CAE00	0.684467429887842	0.239025226032192	Male.No	#7CAE00
#F8766D	0.384678983298892	0.218792304227298	Female.No	#F8766D
#7CAE00	0.606042085723443	0.394487344151871	Male.No	#7CAE00
#7CAE00	0.782768949442966	0.130800117738545	Male.No	#7CAE00
#7CAE00	0.773872009478509	0.203678053634411	Male.No	#7CAE00
#7CAE00	0.825362112373114	0.118383505042981	Male.No	#7CAE00
#7CAE00	0.782665894959461	0.103899382816797	Male.No	#7CAE00
#7CAE00	0.822876172224906	0.192404796030711	Male.No	#7CAE00
#7CAE00	0.859215556220575	0.111047079617327	Male.No	#7CAE00
#7CAE00	0.785694328052076	0.408130604350431	Male.No	#7CAE00
#7CAE00	0.577135667035525	0.241804639131508	Male.No	#7CAE00
#7CAE00	0.657740001990037	0.268789305775003	Male.No	#7CAE00
#7CAE00	0.892304658381776	0.187429316003214	Male.No	#7CAE00
#7CAE00	0.878491030497984	0.115175161764703	Male.No	#7CAE00
#7CAE00	0.659516398794949	0.448059109039605	Male.No	#7CAE00
#F8766D	0.130457281981679	0.260499676858837	Female.No	#F8766D
#F8766D	0.405898525972258	0.446162228133868	Female.No	#F8766D
#7CAE00	0.840579892170023	0.124043215489523	Male.No	#7CAE00
