x	xend	y	yend
0.794117647058823	NA	0.105931909557633	0.733970163555722
0.0454545454545466	NA	0.112304960492934	0.943101515880089
0.860962566844919	NA	0.248245552570137	0.116440162856889
0.633689839572192	NA	0.367374994505427	0.206477598130263
0.954545454545453	NA	0.107754794677795	0.318679374719724
0.954545454545453	0.553475935828877	0.107754794677795	0.489304258715645
0.887700534759357	NA	0.530677277618957	0.45247287863698
0.941176470588234	NA	0.156232609548374	0.517542326178281
0.914438502673796	NA	0.27733276054128	0.700876582493913
0.901069518716577	NA	0.0707712247323624	0.777252459214304
0.901069518716577	NA	0.196777928083647	0.860957232353379
0.794117647058823	NA	0.221880105715082	0.164044376351549
0.794117647058823	NA	0.29682973490841	0.1925708714304
0.553475935828877	0.232620320855616	0.134455013355595	0.634454829084934
0.901069518716577	NA	0.34855544212044	0.315269103888449
0.807486631016042	NA	0.244117401106043	0.462550664990184
0.941176470588234	NA	0.329365564350821	0.619495801775485
0.1524064171123	NA	0.277337318485762	0.731713542197477
0.687165775401069	NA	0.458259235765226	0.813528555738672
0.299465240641712	NA	0.235496595253183	0.846901055379792
0.633689839572192	NA	0.437088180059027	0.138196525060549
0.901069518716577	NA	0.417826025644673	0.244036646004518
0.901069518716577	0.713903743315508	0.417826025644673	0.0719143657700585
0.901069518716577	0.713903743315508	0.417826025644673	0.17927199248922
0.419786096256685	NA	0.133936495978459	0.322807141530055
0.807486631016042	NA	0.273402754886044	0.412038427821013
0.807486631016042	NA	0.420999447687576	0.57153575375522
0.807486631016042	NA	0.568212485064424	0.647261699548308
0.820855614973261	NA	0.823220782251813	0.826177733822672
0.820855614973261	NA	0.120610094811146	0.886547058299995
0.687165775401069	NA	0.544010231511711	0.140050811076886
0.700534759358288	NA	0.557694036393526	0.140050811076886
0.874331550802138	NA	0.261402021014497	0.187445740220434
0.8475935828877	NA	0.536254989828422	0.368937235482119
0.740641711229946	NA	0.511569817944573	0.467164197161754
0.740641711229946	NA	0.704907631424817	0.599280492583813
0.700534759358288	NA	0.645381471061803	0.661529350188814
0.700534759358288	NA	0.817079363381088	0.1925708714304
0.647058823529411	NA	0.479457423978459	0.747497648789983
0.927807486631015	NA	0.214987434146659	0.848108404315723
0.647058823529411	NA	0.563650195356463	0.0906967411921863
0.620320855614973	NA	0.648560294518417	0.276891260058673
0.312834224598931	NA	0.317691205249062	0.33078948143924
0.860962566844919	NA	0.3417272236956	0.408075056672845
0.700534759358288	NA	0.897792747454804	0.53065725801668
0.580213903743315	NA	0.209586501564672	0.53065725801668
